TypeEx,Name,Description,URL,Rating,Category,Keywords,Comments,Uid
Tabular,Queens Library Branches (Library/Queens-Library-Branches/kh3d-xhq7),Queens Public Library Hours and Locations,https://data.cityofnewyork.us/Library/Queens-Library-Branches/kh3d-xhq7,0,Library,"library, services, queens, qpl, hours, schedule",0,kh3d-xhq7
Tabular,Queens Open Article 7 Petitions (dataset/Queens-Open-Article-7-Petitions/63q5-id7i),"The information in the City's computer records with respect to open petitions challenging real property tax assessments pursuant to Article 7 of the Real Property Tax Law: contains the index number and year the petition was commenced, the name of the petitioner, the name of the attorney for the petitioner, and various note of issue codes.",https://data.cityofnewyork.us/dataset/Queens-Open-Article-7-Petitions/63q5-id7i,0,,"tax, commission, action petition, record, challenge, challenging, real, property assess, law, attorney, code, open, article, queens, index, issue",0,63q5-id7i
Filter,Bronx 311 Industrial Waste Complaints 2010-current (Social-Services/Bronx-311-Industrial-Waste-Complaints-2010-current/2egp-atym),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Bronx-311-Industrial-Waste-Complaints-2010-current/2egp-atym,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,2egp-atym
Filter,Bronx 311 HPD heating service requests (Social-Services/Bronx-311-HPD-heating-service-requests/tgp2-73k8),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Bronx-311-HPD-heating-service-requests/tgp2-73k8,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,tgp2-73k8
Filter,Bronx 311 Noise Survey (Social-Services/Bronx-311-Noise-Survey/99i6-msyy),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Bronx-311-Noise-Survey/99i6-msyy,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,99i6-msyy
Filter,All Bronx 311 Service Requests (Social-Services/All-Bronx-311-Service-Requests/kkrc-28ts),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/All-Bronx-311-Service-Requests/kkrc-28ts,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,kkrc-28ts
Filter,Bronx 311 Industrial Waste COmplaints 2010-present (Social-Services/Bronx-311-Industrial-Waste-COmplaints-2010-present/k8kc-g4kq),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Bronx-311-Industrial-Waste-COmplaints-2010-present/k8kc-g4kq,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,k8kc-g4kq
Filter,Top 6 (Social-Services/Top-6/75uk-tdvr),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Top-6/75uk-tdvr,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,75uk-tdvr
Filter,311 Service Requests for Zipcode 10036 (Social-Services/311-Service-Requests-for-Zipcode-10036/9y5v-nb9w),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-for-Zipcode-10036/9y5v-nb9w,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,9y5v-nb9w
Filter,Complaint type (Social-Services/Complaint-type/4xdh-t84e),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Complaint-type/4xdh-t84e,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,4xdh-t84e
Filter,"Black students in Brooklyn, 2005-2010 (Education/Black-students-in-Brooklyn-2005-2010/bser-75pn)","Graduation Outcomes - 4 Year Outcome - Cohorts of 2001 through 2006 (Classes of 2005 through 2010) 
â€¢The New York State calculation method was first adopted for the Cohort of 2001 (Class of 2005). The cohort consists of all students who first entered 9th grade in a given school year (e.g., the Cohort of 2006 entered 9th grade in the 2006-2007 school year). Graduates are defined as those students earning either a Local or Regents diploma and exclude those earning either a special education (IEP) diploma or GED. For the most recent cohort, graduation rates as of both June and August (including summer graduates) are reported. 
â€¢Records with cohorts of 20 students or less are suppressed. August outcomes are only reported for the most recent cohort. 
â€¢August outcomes include all June and August graduates. 
â€¢In school-level reporting, students who were in a school for less than 5 months are not included in the schoolâ€™s cohort, but are included in citywide totals. 
â€¢School level results are not presented for District 79 schools, but their outcomes are included in citywide totals.",https://data.cityofnewyork.us/Education/Black-students-in-Brooklyn-2005-2010/bser-75pn,0,Education,,0,bser-75pn
Filter,NYC Housing Complaints - FINAL (Social-Services/NYC-Housing-Complaints-FINAL/hgug-j8e2),All 311 Service Requests from 2010 to mid-February 2012.,https://data.cityofnewyork.us/Social-Services/NYC-Housing-Complaints-FINAL/hgug-j8e2,0,Social Services,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,hgug-j8e2
Filter,key (Other/key/mtbq-erbg),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/key/mtbq-erbg,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,mtbq-erbg
Filter,Service requests March 1 - 18 (Social-Services/Service-requests-March-1-18/cp9i-fqvr),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Service-requests-March-1-18/cp9i-fqvr,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,cp9i-fqvr
Map,311 Requests - 10468 (Social-Services/311-Requests-10468/n3qa-cbhw),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/311-Requests-10468/n3qa-cbhw,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,n3qa-cbhw
Filter,Bronx 311 Water Conservation complaints 2010-current (Social-Services/Bronx-311-Water-Conservation-complaints-2010-curre/b4pc-bbva),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Bronx-311-Water-Conservation-complaints-2010-curre/b4pc-bbva,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,b4pc-bbva
Filter,test (Social-Services/test/qc97-fh7u),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/test/qc97-fh7u,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,qc97-fh7u
Filter,Noise 10009 (Social-Services/Noise-10009/5t25-ents),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Noise-10009/5t25-ents,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,5t25-ents
Filter,hpd oct (Other/hpd-oct/wgwt-h7zx),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/hpd-oct/wgwt-h7zx,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,wgwt-h7zx
Filter,Bronx_311_DSNY_Missed_Collection (Social-Services/Bronx_311_DSNY_Missed_Collection/jkqg-z6kp),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Bronx_311_DSNY_Missed_Collection/jkqg-z6kp,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,jkqg-z6kp
Filter,ML_TEST (Social-Services/ML_TEST/mfbr-gvpd),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/ML_TEST/mfbr-gvpd,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,mfbr-gvpd
Filter,Mold Bx (Social-Services/Mold-Bx/azsx-w55c),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Mold-Bx/azsx-w55c,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,azsx-w55c
Filter,view1 (Social-Services/view1/udfn-s977),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/view1/udfn-s977,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,udfn-s977
Tabular,Queens2009 TC Reductions (Property/Queens2009-TC-Reductions/5bei-2py8),Tax Commission Actions on Applications in year 2009 Reducing Assessments or Reclassifying Property.,https://data.cityofnewyork.us/Property/Queens2009-TC-Reductions/5bei-2py8,0,Property,"tax, commission, apply, application, assess, reclassify, reduce, reduction, reclassified, property, action",0,5bei-2py8
Filter,housing filter (Other/housing-filter/a2de-u7as),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/housing-filter/a2de-u7as,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,a2de-u7as
Filter,AgencyCalls1 (Other/AgencyCalls1/d7gj-km57),All 311 Service Request from 2010 to Present.,https://data.cityofnewyork.us/Other/AgencyCalls1/d7gj-km57,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,d7gj-km57
Filter,Bronx 311 TLC data (Social-Services/Bronx-311-TLC-data/v8qr-fxvz),,https://data.cityofnewyork.us/Social-Services/Bronx-311-TLC-data/v8qr-fxvz,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,v8qr-fxvz
Filter,Agency-Complaint Type-Descriptor ALL (Other/Agency-Complaint-Type-Descriptor-ALL/6xg2-tqhi),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/Agency-Complaint-Type-Descriptor-ALL/6xg2-tqhi,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,6xg2-tqhi
Map,Noise Complaints near NYU 2010 to Sept 2012 (Social-Services/Noise-Complaints-near-NYU-2010-to-Sept-2012/r9ej-auf8),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Noise-Complaints-near-NYU-2010-to-Sept-2012/r9ej-auf8,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,r9ej-auf8
Filter,PARTYPARTYPARTY (Social-Services/PARTYPARTYPARTY/7df7-afrb),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/PARTYPARTYPARTY/7df7-afrb,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,7df7-afrb
Filter,"311 Night Noisy Survey CB 3_Not ""Home"" Locations (Social-Services/311-Night-Noisy-Survey-CB-3_Not-Home-Locations/jmtt-6xt7)",All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/311-Night-Noisy-Survey-CB-3_Not-Home-Locations/jmtt-6xt7,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,jmtt-6xt7
